Company,Week,TrendIndex
Cat,11/27/16,59
Cat,11/20/16,58
Cat,11/13/16,68
Cat,11/6/16,64
Cat,10/30/16,70
Cat,10/23/16,80
Cat,10/16/16,88
Cat,10/9/16,88
Cat,10/2/16,85
Cat,9/25/16,85
Cat,9/18/16,96
Cat,9/11/16,98
Cat,9/4/16,100
Cat,8/28/16,98
Cat,8/21/16,94
Cat,8/14/16,87
Cat,8/7/16,83
Cat,7/31/16,80
Cat,7/24/16,83
Cat,7/17/16,77
Cat,7/10/16,71
Cat,7/3/16,68
Cat,6/26/16,70
Cat,6/19/16,70
Cat,6/12/16,72
Cat,6/5/16,77
Cat,5/29/16,80
Cat,5/22/16,83
Cat,5/15/16,86
Cat,5/8/16,87
Cat,5/1/16,79
Cat,4/24/16,90
Cat,4/17/16,86
Cat,4/10/16,84
Cat,4/3/16,78
Cat,3/27/16,71
Cat,3/20/16,65
Cat,3/13/16,63
Cat,3/6/16,67
Cat,2/28/16,64
Cat,2/21/16,68
Cat,2/14/16,63
Cat,2/7/16,59
Cat,1/31/16,62
Cat,1/24/16,68
Cat,1/17/16,60
Cat,1/10/16,60
Cat,1/3/16,59
